Store_Code,Date,Product_Code,Sales_Qty
W460,10/02/19,18AU90149-40141-WFS,1
W358,10/02/19,18AU90151-40143-WFS,1
W178,10/02/19,18AU90152-40144-WFS,1
W460,10/02/19,18AU90164-40152-WFS,1
W460,08/02/19,18AU90166-40155-WFS,1
W460,08/02/19,18AU90175-40165-WFS,1
W243,09/02/19,18AU90181-40171-WFS,1
W460,10/02/19,18AU90188-40178-WFS,1
W243,09/02/19,18AU90193-40183-WFS,1
W460,10/02/19,18AU90194-40184-WFS,1
W460,10/02/19,18AU90205-40195-WFS,1
W243,09/02/19,18AU90211-40205-WFS,1
W358,08/02/19,18AU90213-40208-WFS,1
W178,10/02/19,18AU90216-40212-WFS,1
W460,08/02/19,18AU90219-40215-WFS,1
W243,09/02/19,18AU90222-40218-WFS,1
W460,08/02/19,18AU90225-40221-WFS,1
W460,08/02/19,18AU90226-40222-WFS,1
W471,10/02/19,18AU90230-40226-WFS,1
W460,10/02/19,18AU90231-40227-WFS,1
W243,09/02/19,18AU90236-40234-WFS,1
W460,09/02/19,18AU90238-40236-WFS,1
W421,10/02/19,18AU90239-40237-WFS,1
W454,10/02/19,18AU90239-40237-WFS,1
W358,10/02/19,18AU90242-40240-WFS,1
W460,08/02/19,18AU90247-40245-WFS,1
W243,09/02/19,18AU90247-40245-WFS,1
W460,08/02/19,18AU90248-40246-WFS,1
W460,09/02/19,18AU90250-40248-WFS,1
W445,10/02/19,18AU90258-40256-WFS,1
W460,10/02/19,18AU90262-40264-WFS,1
W358,08/02/19,18AU90263-40266-WFS,1
W178,10/02/19,18AU90273-40277-WFS,1
W425,10/02/19,18AUS094-47484-WL,1
W358,08/02/19,18AUS094-47484-WM,1
W243,09/02/19,18AUS094-47484-WM,1
W178,10/02/19,18AUS094-47484-WM,1
W358,08/02/19,18AUS094-47512-WM,1
W471,08/02/19,18AUS094-47512-WS,1
W454,08/02/19,18AUS094-47569-WM,1
W243,09/02/19,18AUS094-47569-WM,1
W425,09/02/19,18AUS094-47569-WM,1
W358,08/02/19,18AUS094-47571-WM,1
W445,10/02/19,18AUS094-47571-WM,1
W454,09/02/19,18AUS094-47572-WM,1
W334,09/02/19,18AUS094-47578-WM,1
W421,08/02/19,18AUS094-47579-WM,1
W421,10/02/19,18AUS10014-310565-10,1
W425,10/02/19,18AUS10014-310565-10,-1
W178,08/02/19,18AUS10014-310565-12,1
W425,10/02/19,18AUS10014-310565-12,1
W454,09/02/19,18AUS10014-310565-8,1
W460,09/02/19,18AUS10018-110240-12,1
W460,10/02/19,18AUS10018-110240-14,1
W243,10/02/19,18AUS10018-110240-16,1
W454,09/02/19,18AUS10018-110240-6,1
W425,09/02/19,18AUS10018-110240-8,1
W460,10/02/19,18AUS10023-310084-10,1
W358,08/02/19,18AUS10033-110118-8,1
W425,09/02/19,18AUS10033-110118-8,1
W460,08/02/19,18AUS11397-110653-12,1
W243,10/02/19,18AUS11397-110653-12,1
W460,10/02/19,18AUS11588-50366-12,1
W421,10/02/19,18AUS11595-72435-14,1
W334,08/02/19,18AUS11598-72439-6,1
W421,08/02/19,18AUS11599-72431-16,1
W460,08/02/19,18AUS11651-66255-8,1
W421,10/02/19,18AUS11653-111405-12,1
W334,08/02/19,18AUS11655-51091-8,1
W445,09/02/19,18AUS11656-51098-16,1
W178,08/02/19,18AUS11656-51098-8,1
W178,09/02/19,18AUS11660-65780-14,1
W421,09/02/19,18AUS11660-65780-8,1
W425,10/02/19,18AUS11660-65782-12,1
W425,09/02/19,18AUS11660-65784-12,1
W178,10/02/19,18AUS11660-65784-8,1
W473,10/02/19,18AUS11660-66257-8,1
W460,08/02/19,18AUS11662-66252-10,1
W425,09/02/19,18AUS11662-66252-12,1
W425,09/02/19,18AUS11662-66252-16,1
W358,10/02/19,18AUS11663-65780-10,1
W454,08/02/19,18AUS11663-65780-16,1
W178,08/02/19,18AUS11664-66253-14,1
W358,09/02/19,18AUS11664-66253-14,1
W421,08/02/19,18AUS11671-12177-10,1
W425,10/02/19,18AUS11672-51466-12,1
W425,08/02/19,18AUS11672-51466-8,1
W178,10/02/19,18AUS11672-51466-8,1
W460,10/02/19,18AUS11672-51466-8,1
W460,10/02/19,18AUS11676-51470-6,1
W454,10/02/19,18AUS11684-51102-10,1
W473,09/02/19,18AUS11686-51097-6,1
W243,09/02/19,18AUS11770-51486-16,1
W421,09/02/19,18AUS55446-51515-WM,1
W460,08/02/19,18AUS55465-51474-WM,1
W243,10/02/19,18AUS60134-110117-WL,1
W421,10/02/19,18AUS60134-110117-WM,1
W460,10/02/19,18AUS60134-110117-WM,1
W425,09/02/19,18AUS60134-110117-WS,1
W454,09/02/19,18AUS60134-110117-WS,1
W421,08/02/19,18AUS60416-65215-WL,1
W421,08/02/19,18AUS60444-72448-WL,1
W358,09/02/19,18AUS61014-66261-WL,1
W178,10/02/19,18AUS61019-12177-WS,1
W421,08/02/19,18AUS81026-91973-WFS,1
W454,08/02/19,18AUS81116-59575-WFS,1
W460,08/02/19,18AUS81116-59575-WFS,1
W178,08/02/19,18AUS81122-66265-WFS,1
W178,09/02/19,18AUS81122-66265-WFS,1
W358,08/02/19,18AUS81123-66266-WFS,1
W421,08/02/19,18AUS81123-66266-WFS,1
W454,08/02/19,18AUS81123-66266-WFS,1
W425,09/02/19,18AUS81123-66266-WFS,1
W445,09/02/19,18AUS81123-66266-WFS,1
W460,09/02/19,18AUS81123-66266-WFS,1
W243,10/02/19,18AUS81123-66266-WFS,1
W445,10/02/19,18AUS81123-66266-WFS,1
W460,10/02/19,18AUS81123-66266-WFS,1
W425,09/02/19,18AUSP10121-310042-12,-1
W425,09/02/19,18AUSP10121-310042-6,1
W421,08/02/19,18AUSP10121-310042-8,-1
W460,10/02/19,18AUSP10133-72640-10,1
W454,09/02/19,18AUSP11665-72572-12,1
W358,08/02/19,18AUW094-210665-WS,1
W473,10/02/19,18AUW094-210924-WM,1
W454,09/02/19,18AUW094-210926-WS,1
W454,09/02/19,18AUW094-210926-WS,-1
W421,08/02/19,18AUW094-210927-WL,1
W454,08/02/19,18AUW094-210927-WS,1
W473,10/02/19,18AUW094-210929-WL,1
W425,10/02/19,18AUW094-210985-WS,1
W454,09/02/19,18AUW094-210995-WM,1
W178,10/02/19,18AUW094-210996-WM,1
W178,09/02/19,18AUW11001-110038-10,1
W445,09/02/19,18AUW11001-110038-10,1
W445,10/02/19,18AUW11001-110038-14,1
W471,09/02/19,18AUW11001-110038-16,1
W471,10/02/19,18AUW11001-110038-6,1
W178,09/02/19,18AUW11002-110040-12,-1
W178,08/02/19,18AUW11002-110040-8,1
W460,09/02/19,18AUW11002-110040-8,1
W358,10/02/19,18AUW11002-110040-8,1
W178,08/02/19,18AUW11010-110067-10,1
W243,09/02/19,18AUW11010-110067-12,1
W421,08/02/19,18AUW11010-110067-16,1
W460,10/02/19,18AUW11010-110067-6,1
W460,09/02/19,18AUW11010-110067-8,1
W178,10/02/19,18AUW11010-110067-8,1
W454,10/02/19,18AUW11010-110067-8,1
W460,10/02/19,18AUW11010-110067-8,1
W471,10/02/19,18AUW11015-110054-14,-1
W471,09/02/19,18AUW11063-110357-10,1
W460,09/02/19,18AUW11063-110357-16,1
W460,09/02/19,18AUW11126-110406-10,1
W460,09/02/19,18AUW11126-110406-12,1
W460,10/02/19,18AUW11126-110406-12,1
W421,10/02/19,18AUW11132-110394-18,1
W243,08/02/19,18AUW11141-110392-10,1
W460,08/02/19,18AUW11141-110392-10,1
W243,10/02/19,18AUW11141-110392-12,1
W243,09/02/19,18AUW11141-110392-14,1
W421,09/02/19,18AUW11141-110392-16,1
W460,09/02/19,18AUW11145-110668-10,1
W425,08/02/19,18AUW11145-110668-12,1
W454,09/02/19,18AUW11145-110668-12,1
W421,10/02/19,18AUW11145-110668-18,1
W178,08/02/19,18AUW11145-110668-6,1
