Product_Code,Store_Code,Closing Inventory,Date
19CR1094-45412-WL,W178,5,17/02/19
19CR1094-45412-WL,W243,3,17/02/19
19CR1094-45412-WL,W334,1,17/02/19
19CR1094-45412-WL,W358,1,17/02/19
19CR1094-45412-WL,W395,1,17/02/19
19CR1094-45412-WL,W421,7,17/02/19
19CR1094-45412-WL,W425,5,17/02/19
19CR1094-45412-WL,W454,1,17/02/19
19CR1094-45412-WL,W460,1,17/02/19
19CR1094-45412-WL,W473,1,17/02/19
19CR1094-45412-WM,W178,2,17/02/19
19CR1094-45412-WM,W358,2,17/02/19
19CR1094-45412-WM,W395,2,17/02/19
19CR1094-45412-WM,W425,4,17/02/19
19CR1094-45412-WM,W431,3,17/02/19
19CR1094-45412-WM,W454,1,17/02/19
19CR1094-45412-WS,W178,2,17/02/19
19CR1094-45412-WS,W358,1,17/02/19
19CR1094-45412-WS,W421,1,17/02/19
19CR1094-45413-WL,W178,7,17/02/19
19CR1094-45413-WL,W243,14,17/02/19
19CR1094-45413-WL,W395,3,17/02/19
19CR1094-45413-WL,W421,5,17/02/19
19CR1094-45413-WL,W425,3,17/02/19
19CR1094-45413-WL,W431,2,17/02/19
19CR1094-45413-WL,W445,2,17/02/19
19CR1094-45413-WL,W454,1,17/02/19
19CR1094-45413-WL,W460,5,17/02/19
19CR1094-45413-WL,W471,1,17/02/19
19CR1094-45413-WL,W473,3,17/02/19
19CR1094-45413-WM,W178,1,17/02/19
19CR1094-45413-WM,W243,1,17/02/19
19CR1094-45413-WM,W358,1,17/02/19
19CR1094-45413-WM,W421,1,17/02/19
19CR1094-45413-WM,W425,2,17/02/19
19CR1094-45413-WM,W431,1,17/02/19
19CR1094-46971-WL,W243,2,17/02/19
19CR1094-46971-WL,W358,3,17/02/19
19CR1094-46971-WL,W395,2,17/02/19
19CR1094-46971-WL,W421,1,17/02/19
19CR1094-46971-WL,W425,3,17/02/19
19CR1094-46971-WL,W431,2,17/02/19
19CR1094-46971-WL,W445,2,17/02/19
19CR1094-46971-WL,W454,2,17/02/19
19CR1094-46971-WL,W460,3,17/02/19
19CR1094-46971-WL,W473,1,17/02/19
19CR1094-46971-WM,W178,5,17/02/19
19CR1094-46971-WM,W243,7,17/02/19
19CR1094-46971-WM,W358,5,17/02/19
19CR1094-46971-WM,W395,5,17/02/19
19CR1094-46971-WM,W421,3,17/02/19
19CR1094-46971-WM,W425,2,17/02/19
19CR1094-46971-WM,W431,5,17/02/19
19CR1094-46971-WM,W445,4,17/02/19
19CR1094-46971-WM,W454,5,17/02/19
19CR1094-46971-WM,W460,8,17/02/19
19CR1094-46971-WM,W471,3,17/02/19
19CR1094-46971-WM,W473,3,17/02/19
19CR1094-46971-WS,W178,5,17/02/19
19CR1094-46971-WS,W243,7,17/02/19
19CR1094-46971-WS,W334,2,17/02/19
19CR1094-46971-WS,W358,4,17/02/19
19CR1094-46971-WS,W395,4,17/02/19
19CR1094-46971-WS,W421,4,17/02/19
19CR1094-46971-WS,W425,4,17/02/19
19CR1094-46971-WS,W431,5,17/02/19
19CR1094-46971-WS,W445,2,17/02/19
19CR1094-46971-WS,W454,4,17/02/19
19CR1094-46971-WS,W460,7,17/02/19
19CR1094-46971-WS,W471,1,17/02/19
19CR1094-46971-WS,W473,2,17/02/19
19CR1094-47527-WL,W178,7,17/02/19
19CR1094-47527-WL,W334,1,17/02/19
19CR1094-47527-WL,W358,1,17/02/19
19CR1094-47527-WL,W395,7,17/02/19
19CR1094-47527-WL,W421,8,17/02/19
19CR1094-47527-WL,W431,8,17/02/19
19CR1094-47527-WL,W454,2,17/02/19
19CR1094-47527-WL,W471,2,17/02/19
19CR1094-47527-WL,W473,1,17/02/19
19CR1094-47527-WM,W178,5,17/02/19
19CR1094-47527-WM,W243,3,17/02/19
19CR1094-47527-WM,W358,1,17/02/19
19CR1094-47527-WM,W395,3,17/02/19
19CR1094-47527-WM,W431,9,17/02/19
19CR1094-47527-WM,W454,1,17/02/19
19CR1094-47527-WM,W471,3,17/02/19
19CR1094-47527-WS,W178,1,17/02/19
19CR1094-47527-WS,W243,2,17/02/19
19CR1094-47527-WS,W358,1,17/02/19
19CR1094-47527-WS,W421,3,17/02/19
19CR1094-47527-WS,W431,4,17/02/19
19CR1094-47527-WS,W473,1,17/02/19
19CR160105-47447-WL,W178,3,17/02/19
19CR160105-47447-WL,W243,1,17/02/19
19CR160105-47447-WL,W334,2,17/02/19
19CR160105-47447-WL,W395,2,17/02/19
19CR160105-47447-WL,W425,4,17/02/19
19CR160105-47447-WL,W454,38,17/02/19
19CR160105-47447-WL,W460,39,17/02/19
19CR160105-47447-WM,W178,1,17/02/19
19CR160105-47447-WM,W243,1,17/02/19
19CR160105-47447-WM,W334,5,17/02/19
19CR160105-47447-WM,W358,3,17/02/19
19CR160105-47447-WM,W421,2,17/02/19
19CR160105-47447-WM,W425,3,17/02/19
19CR160105-47447-WM,W431,3,17/02/19
19CR160105-47447-WM,W454,39,17/02/19
19CR160105-47447-WM,W460,37,17/02/19
19CR160105-47447-WM,W471,2,17/02/19
19CR160105-47447-WS,W178,2,17/02/19
19CR160105-47447-WS,W243,2,17/02/19
19CR160105-47447-WS,W334,2,17/02/19
19CR160105-47447-WS,W395,1,17/02/19
19CR160105-47447-WS,W421,1,17/02/19
19CR160105-47447-WS,W431,2,17/02/19
19CR160105-47447-WS,W454,18,17/02/19
19CR160105-47447-WS,W460,19,17/02/19
19CR160105-47447-WS,W471,1,17/02/19
19CR160105-47447-WS,W473,2,17/02/19
19CR160105-47453-WL,W178,6,17/02/19
19CR160105-47453-WL,W358,4,17/02/19
19CR160105-47453-WL,W395,1,17/02/19
19CR160105-47453-WL,W425,4,17/02/19
19CR160105-47453-WL,W431,4,17/02/19
19CR160105-47453-WL,W454,37,17/02/19
19CR160105-47453-WL,W460,38,17/02/19
19CR160105-47453-WL,W473,1,17/02/19
19CR160105-47453-WM,W178,4,17/02/19
19CR160105-47453-WM,W334,4,17/02/19
19CR160105-47453-WM,W421,1,17/02/19
19CR160105-47453-WM,W425,4,17/02/19
19CR160105-47453-WM,W431,7,17/02/19
19CR160105-47453-WM,W454,38,17/02/19
19CR160105-47453-WM,W460,38,17/02/19
19CR160105-47453-WM,W473,3,17/02/19
19CR160105-47453-WS,W178,2,17/02/19
19CR160105-47453-WS,W425,1,17/02/19
19CR160105-47453-WS,W431,2,17/02/19
19CR160105-47453-WS,W454,15,17/02/19
19CR160105-47453-WS,W460,20,17/02/19
19CR160105-47453-WS,W473,1,17/02/19
19CR181110-69295-WFS,W178,6,17/02/19
19CR181110-69295-WFS,W243,6,17/02/19
19CR181110-69295-WFS,W395,11,17/02/19
19CR181110-69295-WFS,W421,3,17/02/19
19CR181110-69295-WFS,W425,2,17/02/19
