Product_Code,WH_Qty,Date,WH
19FEW60234-110945-6,9,18/02/19,WD1
19FEW60354-111287-12,9,18/02/19,WD1
19FEW60355-111475-8,7,18/02/19,WD1
19FEW60151-211499-12,8,18/02/19,WD1
19FEW60469-211491-6,6,18/02/19,WD1
19FEW60151-211282-14,2,18/02/19,WD1
19FEW60341-111474-WG,1,18/02/19,WD1
19FEW60372-211191-16,7,18/02/19,WD1
19FEW60151-211282-8,7,18/02/19,WD1
19FEW60151-211499-16,9,18/02/19,WD1
19FEW60234-110945-14,7,18/02/19,WD1
19FEW11640-111055-6,7,18/02/19,WD1
19FEW11649-110817-6,3,18/02/19,WD1
19FEW60151-211341-18,1,18/02/19,WD1
19FEW60151-211562-18,0,18/02/19,WD1
19FEW60354-111287-10,1,18/02/19,WD1
19FEW60466-211151-18,8,18/02/19,WD1
19FEW11640-111055-18,4,18/02/19,WD1
19FEW60151-211499-10,8,18/02/19,WD1
19FEW60234-111562-16,6,18/02/19,WD1
19FEW11542-211543-18,7,18/02/19,WD1
19FEW11683-110847-16,3,18/02/19,WD1
19FEW11948-111463-18,0,18/02/19,WD1
19FEW12109-111566-18,10,18/02/19,WD1
19FEW12155-111069-16,1,18/02/19,WD1
19FEW11891-111341-14,2,18/02/19,WD1
19FEW11963-111227-16,8,18/02/19,WD1
19FEW11968-111230-14,0,18/02/19,WD1
19FEW12042-111621-18,9,18/02/19,WD1
19FEW12059-210808-16,10,18/02/19,WD1
19FEW12143-211284-12,10,18/02/19,WD1
19FEW12143-211540-14,4,18/02/19,WD1
19FEW30206-211474-6,2,18/02/19,WD1
19FEW60396-210845-14,7,18/02/19,WD1
19FEW60437-111485-6,0,18/02/19,WD1
19FEW60469-211491-18,3,18/02/19,WD1
19FEW11648-110809-14,1,18/02/19,WD1
19FEW12113-111579-14,3,18/02/19,WD1
19FEW12162-211473-18,7,18/02/19,WD1
19FEW11542-211527-18,1,18/02/19,WD1
19FEW11542-211559-6,7,18/02/19,WD1
19FEW11665-110843-6,7,18/02/19,WD1
19FEW11792-111409-18,5,18/02/19,WD1
19FEW11917-111296-6,3,18/02/19,WD1
19FEW12108-111577-18,4,18/02/19,WD1
19FEW12195-111200-16,0,18/02/19,WD1
19FEW60319-111422-18,0,18/02/19,WD1
19FEW60376-211432-10,7,18/02/19,WD1
19FEW60467-11624-18,3,18/02/19,WD1
19FEW11542-211547-16,5,18/02/19,WD1
19FEW11630-110802-18,4,18/02/19,WD1
19FEW11705-110953-14,4,18/02/19,WD1
19FEW11724-211422-16,4,18/02/19,WD1
19FEW11905-111095-18,2,18/02/19,WD1
19FEW60234-110945-16,7,18/02/19,WD1
19FEW60234-111563-14,0,18/02/19,WD1
19FEW60234-211554-6,5,18/02/19,WD1
19FEW60234-211563-6,8,18/02/19,WD1
19FEW11651-211384-16,1,18/02/19,WD1
19FEW11658-310493-18,6,18/02/19,WD1
19FEW11660-310430-6,9,18/02/19,WD1
19FEW11709-110938-14,6,18/02/19,WD1
19FEW11796-210595-6,7,18/02/19,WD1
19FEW11951-111231-16,3,18/02/19,WD1
19FEW12115-111602-6,2,18/02/19,WD1
19FEW12158-210774-18,1,18/02/19,WD1
19FEW60234-211544-18,5,18/02/19,WD1
19FEW60234-211558-18,9,18/02/19,WD1
19FEW11778-110744-6,2,18/02/19,WD1
19FEW11796-210595-18,3,18/02/19,WD1
19FEW11910-111280-14,5,18/02/19,WD1
19FEW11918-111277-6,1,18/02/19,WD1
19FEW12069-110828-6,5,18/02/19,WD1
19FEW12071-211650-6,4,18/02/19,WD1
19FEW12195-111200-6,5,18/02/19,WD1
19FEW17822-12174-16,4,18/02/19,WD1
19FEW60151-211341-6,5,18/02/19,WD1
19FEW60271-210723-18,5,18/02/19,WD1
19FEW11542-211525-16,5,18/02/19,WD1
